,,,,,,,
,,,,,,,
,,Nama,,<- bisa diedit,,,
,,PT Tujuan:,,<- bisa diedit,,,
,,Jurusan Tujuan:,,<- bisa diedit,,,
,,,,,,,
,,Tanggal Hari Ini,15 Desember 2025,<- jangan diedit,,,
,,Target Selesai Belajar,31 Maret 2026,<- bisa diedit,,,
,,Kekurangan Hari,106,<- jangan diedit,,,
,,Persen Kesiapan,Aku baru siap 17%,,,,
,,,,<- jangan diedit,,,
,,,,,,,
,,Capaian Belajar,,,,,
,,Jenis Ujian,Subtes,Belajar,Latsol,Review,Rata-rata
,,TPS,Penalaran Umum,"47,62%","42,86%","4,76%","31,75%"
,,,Pemahaman Bacaan dan Menulis,"12,50%","12,50%","0,00%","8,33%"
,,,Pengetahuan dan Pemahaman Umum,"0,00%","0,00%","0,00%","0,00%"
,,,Pengetahuan Kuantitatif,"60,87%","56,52%","0,00%","39,13%"
,,Literasi,Literasi Bhs Indonesia,"0,00%","0,00%","0,00%","0,00%"
,,,Literasi Bhs Inggris,"5,88%","5,88%","0,00%","3,92%"
,,,Penalaran Matematika,"50,00%","50,00%","0,00%","33,33%"
