,,,,,,,,,,,,
,,,,,,,,,,,,
,,Petunjuk Pengisian,,,,,,,,,,
,,1.,"Masukkan tanggal pengerjaan tryout (bukan tanggal pengumuman nilai), platform tryout dan nilai tiap subtes",,,,,,,,,
,,2.,"Lakukan hal yang sama untuk tiap tryout berikutnya, pastikan memasukkan tryout dengan sistem penilaian yang sama",,,,,,,,,
,,3.,Grafik nilai tryout dapat dilihat di bagian Dasbor,,,,,,,,,
,,,,,,,,,,,,
,,No,Tanggal Pengerjaan Tryout,Platform Tryout,Nilai IRT,,,,,,,
,,,,,PU,PBM,PPU,PK,LBI,LBE ,PM,Rata-Rata
,,1,,,0,0,0,0,0,0,0,0
,,2,,,0,0,0,0,0,0,0,0
,,3,,,0,0,0,0,0,0,0,0
,,4,,,0,0,0,0,0,0,0,0
,,5,,,0,0,0,0,0,0,0,0
,,6,,,0,0,0,0,0,0,0,0
,,7,,,0,0,0,0,0,0,0,0
,,8,,,0,0,0,0,0,0,0,0
,,9,,,0,0,0,0,0,0,0,0
,,10,,,0,0,0,0,0,0,0,0
,,11,,,0,0,0,0,0,0,0,0
,,12,,,0,0,0,0,0,0,0,0
,,13,,,0,0,0,0,0,0,0,0
,,14,,,0,0,0,0,0,0,0,0
,,15,,,0,0,0,0,0,0,0,0
,,16,,,0,0,0,0,0,0,0,0
,,17,,,0,0,0,0,0,0,0,0
,,18,,,0,0,0,0,0,0,0,0
